Degree,Count
388,5
309,7
216,12
485,2
380,3
644,2
499,4
717,1
586,1
1816,1
311,8
250,9
190,21
524,2
2956,1
141,42
651,1
973,2
778,1
2020,1
864,1
476,3
640,1
1495,1
803,1
342,4
62,222
427,4
2188,1
610,1
101,84
726,1
598,2
618,3
23,1700
246,10
604,1
42,473
661,1
72,152
218,17
332,8
543,1
1707,1
82,125
1365,1
2380,1
967,1
819,1
212,16
305,6
1421,1
11281,1
838,1
592,1
434,4
582,2
26,1291
33,823
48,364
1283,1
1113,1
1,602539
446,5
4044,1
1107,1
150,31
315,3
1841,1
201,11
1808,1
1058,2
1282,1
1965,1
2015,1
34,756
408,2
1651,1
925,1
28754,1
92,109
2742,1
312,9
73,161
4899,1
409,2
10,9600
633,2
852,1
128,35
1337,1
19,2502
528,1
841,1
355,5
492,2
162,29
144,36
244,6
438,5
1532,1
1427,1
2164,1
3621,1
1045,1
932,1
231,10
341,4
17,3147
1622,1
255,5
213,12
721,2
365,3
866,1
603,1
820,1
2800,1
755,3
627,1
847,1
1945,1
1161,1
474,3
1407,1
275,8
248,5
184,23
969,1
1198,1
754,2
1244,1
1481,1
441,4
3035,1
433,3
650,1
333,5
709,1
1480,1
1853,1
468,5
278,4
1172,1
2113,1
573,2
1089,1
1254,1
1771,1
281,5
947,1
90,84
817,2
2204,1
334,4
58,250
453,5
420,5
164,25
520,2
678,1
583,1
854,1
808,1
140,31
422,1
299,11
273,10
684,2
239,11
156,24
69,154
104,72
290,11
491,2
307,9
4253,1
325,3
238,11
392,3
568,2
1588,1
2252,1
595,1
648,1
766,1
741,1
9762,1
211,21
529,1
304,2
122,40
1392,1
118,67
235,12
845,1
1085,1
2100,1
93,77
704,1
351,4
240,10
53,282
360,6
45,379
224,13
511,2
987,1
416,2
243,13
1419,1
123,39
336,4
1333,1
301,4
552,5
729,1
287,6
781,2
731,1
266,12
260,4
1558,1
1287,1
286,7
337,7
1565,1
469,1
1815,2
720,1
364,2
3160,1
607,1
233,6
739,1
536,3
176,31
269,4
310,6
2211,1
129,48
673,1
14641,1
834,1
1152,1
1208,1
203,17
510,1
815,1
105,71
461,2
234,8
699,1
1229,1
417,2
418,3
56,270
169,29
484,2
659,2
294,6
458,2
873,1
501,4
237,11
1959,1
208,18
530,2
54,266
853,1
707,2
2,182237
2094,1
466,4
318,7
506,2
173,15
553,3
1043,1
765,1
437,2
615,1
390,5
518,1
990,1
1059,1
167,25
142,34
455,3
490,2
55,244
431,6
12,6625
106,64
295,9
1023,1
858,1
32,818
145,44
376,4
181,20
882,1
567,1
794,3
572,1
918,1
736,1
76,124
326,3
555,1
793,1
1061,1
764,1
4,55876
288,4
1571,1
22,1887
473,4
262,5
108,60
785,1
1003,1
795,1
1015,1
667,3
242,9
449,3
1718,1
89,80
546,3
1511,1
2818,1
540,2
179,20
166,26
472,4
135,38
850,1
3024,1
98,86
60,232
6102,1
624,1
971,1
67,163
44,431
185,13
522,2
500,6
1583,1
463,6
836,1
339,4
702,1
674,1
274,9
2217,1
2488,1
535,1
892,1
202,19
513,1
187,21
322,2
1183,1
11,7889
625,1
688,1
629,2
2830,1
503,4
1019,1
460,3
198,12
114,53
756,1
193,19
27,1256
91,66
338,4
1288,1
10461,1
368,5
308,4
258,15
405,5
749,2
154,27
117,54
753,1
306,6
267,10
784,2
609,1
346,2
424,4
2197,1
151,30
456,2
268,11
515,3
64,200
516,2
121,42
478,2
548,1
1157,1
36,640
1095,1
1350,1
25,1507
1000,2
382,2
871,2
74,142
512,1
2128,1
1416,1
100,103
646,2
1315,1
620,2
285,8
265,10
933,1
718,1
165,21
477,2
2992,1
716,3
713,1
508,3
2077,1
579,1
533,1
1079,1
61,257
483,2
788,1
541,1
63,190
576,1
146,37
200,13
3394,1
254,11
375,5
372,4
95,74
425,2
4217,1
1086,1
381,6
450,3
349,2
220,20
448,4
361,4
354,1
371,6
1064,2
1258,1
1903,1
160,30
1823,1
1992,1
601,2
370,2
1310,1
988,1
833,1
680,1
581,1
760,1
4352,1
883,1
2400,1
199,13
869,1
1582,1
214,11
1589,1
996,1
314,7
230,19
957,1
1008,2
119,43
411,3
2634,1
1379,1
13,5513
489,2
1666,1
163,21
1594,1
705,2
197,20
2628,1
1459,1
626,2
1884,1
153,23
2374,1
261,12
445,3
161,23
77,124
97,78
574,1
359,3
30,954
407,3
6,26149
51,342
385,3
345,5
1239,1
1246,1
547,1
658,1
320,9
761,1
398,1
668,2
1491,1
1037,1
824,1
1018,1
1951,1
719,1
271,10
357,2
2535,1
1144,1
